Rozmiar,Czas,Typ
1000,0.0006817,1
1000000,0.0010947,0
1000,0.0007953,1
1000000,0.001085,0
1000,0.0009623,1
1000000,0.0011345,0
1000,0.0006047,1
1000000,0.0013617,0
1000,0.000679901,1
1000000,0.0010652,0
1000,0.0006965,1
1000000,0.00108,0
1000,0.0007189,1
1000000,0.0010911,0
1000,0.000772101,1
1000000,0.001258899,0
1000,0.0009957,1
1000000,0.001055599,0
1000,0.000643599,1
1000000,0.001024,0
2000,0.002393599,1
2000000,0.001998099,0
2000,0.0025501,1
2000000,0.001939299,0
2000,0.0027636,1
2000000,0.002356101,0
2000,0.0025071,1
2000000,0.0019521,0
2000,0.002493101,1
2000000,0.0020114,0
2000,0.002547101,1
2000000,0.0021114,0
2000,0.003062399,1
2000000,0.001965001,0
2000,0.0026066,1
2000000,0.002315801,0
2000,0.003047601,1
2000000,0.0020995,0
2000,0.0026798,1
2000000,0.002174201,0
3000,0.005357501,1
3000000,0.0028507,0
3000,0.0060943,1
3000000,0.0031187,0
3000,0.005384799,1
3000000,0.0031766,0
3000,0.0052879,1
3000000,0.0033959,0
3000,0.0053739,1
3000000,0.0030678,0
3000,0.0063787,1
3000000,0.002880099,0
3000,0.006967301,1
3000000,0.003102001,0
3000,0.005570001,1
3000000,0.0029618,0
3000,0.005514399,1
3000000,0.0030388,0
3000,0.006131199,1
3000000,0.002864799,0
4000,0.008504999,1
4000000,0.004027999,0
4000,0.009778,1
4000000,0.0037091,0
4000,0.0080363,1
4000000,0.003706199,0
4000,0.009301499,1
4000000,0.003883699,0
4000,0.008802599,1
4000000,0.004181199,0
4000,0.0094089,1
4000000,0.0041845,0
4000,0.008545599,1
4000000,0.004146,0
4000,0.008392299,1
4000000,0.003848299,0
4000,0.008517399,1
4000000,0.003743901,0
4000,0.010487801,1
4000000,0.004404699,0
5000,0.0146482,1
5000000,0.0050769,0
5000,0.014959901,1
5000000,0.0049362,0
5000,0.0147794,1
5000000,0.0050758,0
5000,0.014994001,1
5000000,0.004942301,0
5000,0.013942501,1
5000000,0.004849199,0
5000,0.014855701,1
5000000,0.004995899,0
5000,0.015237499,1
5000000,0.0051257,0
5000,0.014410399,1
5000000,0.004613001,0
5000,0.0142294,1
5000000,0.0046681,0
5000,0.014911099,1
5000000,0.0048621,0
6000,0.0217474,1
6000000,0.0069316,0
6000,0.020915398,1
6000000,0.005545801,0
6000,0.0212654,1
6000000,0.005845299,0
6000,0.021387301,1
6000000,0.0058006,0
6000,0.0210327,1
6000000,0.0058236,0
6000,0.0204208,1
6000000,0.005669599,0
6000,0.0210931,1
6000000,0.006065499,0
6000,0.022117699,1
6000000,0.006387701,0
6000,0.0221327,1
6000000,0.005745101,0
6000,0.0209398,1
6000000,0.005863701,0
7000,0.0277253,1
7000000,0.006609,0
7000,0.0307132,1
7000000,0.0066295,0
7000,0.0289213,1
7000000,0.007287699,0
7000,0.0297222,1
7000000,0.0067915,0
7000,0.0276322,1
7000000,0.006432201,0
7000,0.0289638,1
7000000,0.007114,0
7000,0.0285164,1
7000000,0.0065194,0
7000,0.0301974,1
7000000,0.006602701,0
7000,0.0285499,1
7000000,0.0067039,0
7000,0.0286113,1
7000000,0.0069041,0
8000,0.034036,1
8000000,0.0078371,0
8000,0.0341534,1
8000000,0.007940701,0
8000,0.0346661,1
8000000,0.0078607,0
8000,0.0354586,1
8000000,0.0073886,0
8000,0.0351554,1
8000000,0.0074555,0
8000,0.0336943,1
8000000,0.0080479,0
8000,0.0341176,1
8000000,0.007822099,0
8000,0.0349258,1
8000000,0.0077974,0
8000,0.0346497,1
8000000,0.0082475,0
8000,0.0368157,1
8000000,0.0081436,0
9000,0.0465277,1
9000000,0.0103924,0
9000,0.0474318,1
9000000,0.0087812,0
9000,0.044922598,1
9000000,0.0085559,0
9000,0.0523423,1
9000000,0.0097443,0
9000,0.0465737,1
9000000,0.0088016,0
9000,0.0476023,1
9000000,0.0084415,0
9000,0.0473753,1
9000000,0.0088775,0
9000,0.0454468,1
9000000,0.008316799,0
9000,0.0467684,1
9000000,0.008836801,0
9000,0.0471498,1
9000000,0.0089458,0
10000,0.0573333,1
10000000,0.0102097,0
10000,0.0548625,1
10000000,0.009760999,0
10000,0.0568149,1
10000000,0.010029401,0
10000,0.0584785,1
10000000,0.0111663,0
10000,0.0577645,1
10000000,0.009752399,0
10000,0.0598508,1
10000000,0.010176201,0
10000,0.0579126,1
10000000,0.0100938,0
10000,0.0584644,1
10000000,0.009791501,0
10000,0.0561227,1
10000000,0.012128301,0
10000,0.0596328,1
10000000,0.0096702,0
